,country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Bangladesh,BGD,89.0352394288932,97.5952917047176,100.122129600152,101.901412511993,100.221104183654,106.64664438536501,112.66536475271299,122.870628479594,122.847597531085,135.147381311241,140.002705319444,133.551418941349,94.381677046194,119.55972393113301,182.020018493274,277.57060523747504,141.197158924105,131.373227305593,176.03394743189997,200.76967703901403,227.75192650771402,247.649616779944,220.718796963204,204.417690056891,213.99663856969602,245.453912291425,233.658072199948,253.974473728959,270.69960091549,285.829216867865,306.268700840472,293.160421069586,293.644987576871,300.55574772773105,299.533037088051,329.424076062081,394.71749189933195,401.49866742468697,407.429176197808,409.543183768079,418.068942112038,415.034404287378,413.08028263808603,446.31067574594397,475.291930195819,499.46194023915604,509.640189887604,558.051840707954,634.987069668507,702.264419644314,781.153577677298,861.762162181077,883.1171296157179,981.8608513544569,1118.87380783368,1248.4533098961301,1401.56463513179,1563.76781861826,1698.13208078712,1855.6915096678,1968.7922248458103
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2238.8029578657397,2234.81481573125,2169.00401089683,1852.81343442802,1963.5726761827398,1914.55064658793,2260.4272811545,3132.3013603624604,2511.3930625948897,2477.0208179595998,2366.52982128614,1267.73437541485,1211.98087810931,1278.24717346108,1148.4943993817,2258.2860178759697,1470.10370331004,1361.3923860058999,1820.4050942489603,1659.71834595525,1621.2429608024697,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.9076377401702,4523.0508329806,5885.10434781837,7265.7354968299705,6988.23332468094,6812.4063384540195,7809.425062454709,7395.849803407209,7655.129707593191,7876.86646539994,7055.93567291245,7548.85500737534,8334.08172775332,9427.73043039881,9828.148514781391,9975.780000709241
22,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8537.71587001028,9269.26961652991,9446.08457726994,9421.3569469587,9590.54179396802,8706.76660148502,7041.63444747202,7554.93219231615,7958.747924585391,8031.0048199518005,8529.052126709279,9055.6444071063,9082.827988321591,9698.15288998905,10130.376203072901,10376.953296178,10544.7946831914,10672.2377596193,10076.2698786937,10401.5621521671,13636.4167499288,12868.176917082099,13049.9097291643,14222.0367965749,15846.5059474506,17959.3968267194,19307.5089373876,20976.442287272,23066.450982437596,19355.921005089498,20722.0704900745,22514.202716483,23654.3695877495,24744.296958551,24989.437527708,22634.0856475674,22608.4525623673,23742.9373424159,23991.0413905597,23443.4348283266,
23,"Bahamas, The",BHS,1550.26769865087,1651.31767315288,1752.84000562204,1867.0103505514,1994.4404971142899,2144.7390894098603,2322.70581564547,2556.63426678748,2804.33387615547,3215.15389706852,3178.8633200253603,3297.4110665117796,3322.2199108302502,3696.0318203603997,3416.43931822479,3156.25082717912,3328.61593650695,3617.45306950786,4131.38642657905,5533.25193819147,6340.78703066162,6624.99245312812,7168.16088508597,7698.0830316088795,8877.70591484605,9893.04200290734,10344.3226508242,11156.5572523791,11387.709081798,12163.4397667416,12356.230998294499,11919.833567682099,11686.739741681298,11406.858133658001,11814.4347088443,12238.604606340901,12708.6414536235,22036.1006810202,23514.1775636614,26130.0129564073,27098.156318676698,27486.2367737544,28867.0824977166,28327.8136706662,28396.013709927796,30279.3922080481,30713.798061818798,31472.2855356015,30627.3277467412,28552.517162471402,28443.8884756689,28005.912404090297,29485.8642228279,28784.0244905519,29980.7082630691,31295.563869588503,31563.3078695925,32719.666587207797,33767.9411879108,34863.3840497476,28607.901375213598
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.012792020937,487.47690450988097,740.099686468862,982.801849065598,1102.39068809628,1251.74759512886,1467.77647716048,1530.8140008052699,1769.1988867057198,2224.74231631471,2814.9998948741,2980.60131734073,3416.5124104341803,4193.3680796247,5090.945905058211,4714.6936611641995,4635.51027337483,5092.55472521264,4778.63608845506,5131.40464581334,5329.63198373154,4727.27633310331,4994.68904038619,5394.57995305594,6072.184622853039,6120.11262579357,6031.556868676579
25,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.8405142801103,,,,1739.8063948372,1323.25114991389,1452.44548758328,1394.56816782111,1515.97671717324,1212.04597845077,1276.49398462377,1244.37318523431,1479.31458271677,1819.7660592617701,2378.62328600741,3125.8105350285305,3847.4341238215297,4735.657607939989,6377.36973201232,5351.355382432779,6029.3967998293,6519.230194988921,6940.15925359735,7978.872614710759,8318.51268992675,5949.106306997479,5022.62664330491,5761.747120230071,6330.0752464187,6839.10383292452,6411.2278131981
26,Belize,BLZ,304.90385978003997,316.413629488762,327.099996524794,336.938102250285,351.161126269562,377.590746983887,406.09425326109704,420.375933569588,386.939901268415,396.627700589062,435.683337704869,474.43661263007897,519.555335346672,605.933440702651,786.0810652222369,885.9579356956219,717.0614060396209,858.8218118110809,980.7519338010429,1074.29477289777,1373.21684470372,1328.77412148881,1202.79317551265,1232.85320212631,1337.03761994362,1289.39074367083,1366.0416735108802,1612.33133477827,1788.0013197882397,2011.9467965223103,2197.1615934193696,2326.72416499247,2668.53142542576,2834.6883354805104,2882.15201568158,2997.76045916905,3003.18265150534,2954.2272365747303,2993.0336514774103,3066.0951513578602,3364.49179027445,3404.4204975426396,3526.08159515622,3650.6065265873103,3802.2630751345705,3885.0340031871297,4155.32380433871,4252.3953859188205,4404.30819362552,4186.519984116,4270.7800308201,4423.4968423614,4505.6005931298705,4568.64122799115,4718.43658122355,4770.23265563888,4856.973248531121,4945.85769867226,5001.422156634329,5078.8099444177205,4435.62115419432
27,Bermuda,BMU,1902.4021188493698,1961.5381691712,2020.38596495589,2020.2652474469,2199.7270068273497,2282.21654621089,2630.85046638536,2982.7497043718,2830.18867924528,3053.7037037037,3387.27272727273,3866.3003663003706,4343.17343173432,5009.2936802974,5853.932584269661,6509.43396226415,7261.2781954887205,8370.78651685393,8876.86567164179,9613.38289962825,11218.2178159868,13425.976966394199,14166.171292539098,15902.020382621102,17469.8255675877,18269.535519701898,20450.6645289464,22411.795674946803,24253.175518878397,25517.9217212488,26841.5197383946,27700.310059131498,28669.6817134568,30900.6942794093,31476.0637221848,33989.7231613832,44826.7890701658,48478.883250409104,51371.7408069836,54245.459737293,56284.168647809405,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.85887203009,104287.38749845901,106935.486341979,101407.764031934,101875.28407346,97774.16207174279,98431.8651810241,99471.6388978631,98467.68399398199,102005.62564189,106885.87848932699,111820.581466347,113023.18559426801,117098.446325474,
28,Bolivia,BOL,102.237722413607,109.06130397942499,116.924968208513,123.429341345478,136.312361950325,149.640333206756,162.326054493388,179.583038401343,199.629567437341,211.797016169884,226.806971403988,239.127498743471,268.584015387715,263.892746078729,429.297559603423,480.80365512194504,534.2732859047641,617.30682923322,703.135427290607,809.412178497187,811.2852992850299,1030.83305449824,960.983778189371,913.9748506911831,1019.05725747634,870.185648376456,627.398628752618,671.0758546504139,698.692002828122,701.665938595643,709.059982354587,762.0777070508459,788.152320018064,784.190988682633,801.046136937657,880.9926863676719,950.856386162623,998.5159532174471,1049.4993736487402,1003.3922306389501,997.581748874387,948.870211337892,904.225799882294,907.537415801528,967.406458598204,1034.31180039586,1218.8740702771302,1372.62836843372,1715.2083925523998,1754.20946375615,1955.460180975,2346.3378439235003,2609.88056208632,2908.200370948,3081.8788236516302,3035.97165495107,3076.65643933721,3351.1243443264198,3548.59078021899,3552.0681438365295,3143.0454942418896
29,Brazil,BRA,210.109873186103,205.04078206032298,260.425649671662,292.25217342524104,261.666616336301,261.354345115614,315.797213962258,347.493052162524,374.786775401462,403.884297825159,445.02310059739006,504.749474702397,586.214375621533,775.273300345189,1004.10495803968,1153.83091532261,1390.6249120460598,1567.00618230231,1744.25705368742,1908.4876103962197,1947.27638172523,2132.8833173447,2226.7671199705,1570.53979590926,1578.9264051102803,1648.0820678363,1941.4910668853101,2087.3075461476396,2300.37681152012,2908.49613818735,3100.28042681627,3975.39019421469,2596.9198424508104,2791.20898186013,3500.61146795399,4748.215734074771,5166.16393300655,5282.0086380056,5087.15213112718,3478.3727501621397,3749.75327141454,3156.7987713335997,2829.28314489459,3070.91052439544,3637.46242879358,4790.43695908641,5886.46368222667,7348.03071626086,8831.023116975659,8597.91548455152,11286.242900911499,13245.6120301146,12370.0244490002,12300.324821091,12112.5876683327,8814.00141787464,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.844542278771
30,Barbados,BRB,,,,,,,,,,,,,,,1274.54837242167,1633.82301212861,1760.66009350232,1988.89518753808,2209.76701460887,2667.07958378409,4010.81118962834,4398.8248657733,4580.97053014615,4851.0995550743,5271.7298364272,5500.4141142465505,6019.653244300601,6605.779218645451,6999.87611601587,7717.177448954029,7711.295456176279,7714.742745972809,7444.1781733805,7819.57000268592,8121.5619186147305,8335.89929257052,8851.04645800324,9315.96756568231,10459.4424704914,10914.2822448996,11268.4200640121,11209.421124868799,11361.5167707179,11699.3704685216,12512.5779652212,13822.741748697199,15199.567528606201,16770.6610309974,17092.582140841398,15885.410181888,16056.3709766031,16458.3532105715,16249.6739490585,16451.279309447298,16489.0722373387,16524.899501273998,16900.0482858522,17391.668908461397,17745.2553725928,18148.4978451054,15191.1640353411
31,Brunei Darussalam,BRN,,,,,,1113.7830418527099,1237.5635792502999,1236.41966434465,1364.0659775422,1304.34067194988,1382.5376307223098,1455.8875762271,1906.9714876845499,2916.1302726929903,6923.22182797073,7228.040372785141,8461.88958183312,9917.30147004135,10715.1765365863,14945.8410921249,25422.0391890215,21828.1224513509,20693.8249109432,18129.2439039929,17337.0264761605,15699.574777514299,10214.028491281899,11594.5675406595,11009.2573850071,11872.7251657755,13607.8902731894,13905.1683366332,15274.6677075047,14575.574586243602,14120.9525583928,15933.4528281823,16793.3912313027,16660.1476273967,12694.1489574427,14101.1728497244,18012.5021948953,16472.003294821498,16850.3940790817,18560.5035016224,21902.0271176465,26105.4220290571,30979.9628427354,32663.392371141403,37934.6764481019,27956.0051426256,35270.6421390658,47055.960643203,47739.5576931563,44740.8594244355,41725.8675220155,31164.036252846803,27158.4056535724,28571.608291418997,31628.476256600898,31085.9618860822,27466.3396414199
