,country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
29,Brazil,BRA,8.33481598,8.5499382,8.70437145,8.19710159,8.13533783,8.04407787,8.25891399,8.20776176,8.01598835,8.40254688,7.94913244,7.78833342,7.73536205,7.97721243,8.39624977,8.87090969,9.20742226,9.46933746,9.51438713
30,Barbados,BRB,5.33187246,5.52529192,5.86123419,6.68377304,7.31510305,6.76892185,6.58324289,6.05583191,6.47676373,7.1486845,6.77398682,6.89933872,7.77819967,7.49560881,6.99789667,6.774845599999999,6.68155098,6.62216997,6.56259155
31,Brunei Darussalam,BRN,2.5432477000000002,2.54193902,2.52989697,2.59788561,2.54709625,2.22967577,1.90329325,1.94069541,1.86958551,2.39306617,2.27826118,1.86409724,1.85097218,1.8983139999999998,1.91436803,2.38708901,2.54828691,2.27036428,2.41291642
32,Bhutan,BTN,4.31020021,4.85057402,4.45451164,4.00747824,4.46532822,4.01967382,4.29145336,4.02995634,3.30082774,3.4614768,3.47357607,3.26995778,3.53425479,3.62129545,3.46891737,3.65720773,3.48117137,3.24491644,3.0574255
33,Botswana,BWA,5.82725811,6.15671682,6.42154217,6.17618656,5.79530239,5.02534151,4.77372456,5.33311653,5.782003400000001,6.5250082,6.19402504,5.77690315,6.14145994,6.22438812,5.59789324,5.72629929,5.56052208,6.13456821,5.84825039
34,Central African Republic,CAF,4.32829618,3.95108914,4.18027496,4.23487663,4.20026016,4.22886753,4.31175089,4.63511133,4.02794027,4.72996759,3.65146255,3.63681531,3.6277864,4.73335361,4.90981197,5.03434181,5.44402361,6.66541529,10.99253082
35,Canada,CAN,8.27567863,8.65530014,8.88823891,9.04279232,9.09723568,9.06438637,9.34515572,9.43898201,9.59853268,10.70911217,10.6837883,10.33907032,10.42859364,10.34045982,10.25013065,10.68328094,10.97903442,10.78964806,10.79046917
36,Central Europe and the Baltics,CEB,5.709219261572731,5.91221638958426,6.1630269297522,6.397754327977,6.359467920591269,6.36659128013664,6.2225933626298895,6.13481520613867,6.37704008503595,6.849775464170031,6.80480572462174,6.53322315025959,6.54227605288975,6.673949700600329,6.57466430066928,6.50723074578079,6.608964070110401,6.57796508508374,6.6108540937152895
37,Switzerland,CHE,9.3748436,9.73037529,10.13844776,10.40008259,10.47868919,10.29438877,9.81838131,9.62940121,9.75355244,10.37947655,10.27625465,10.34077358,10.61796474,10.83054256,10.99387455,11.36931515,11.70894909,11.89515591,11.87620926
38,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,
39,Chile,CHL,7.03517628,7.15104103,7.26602364,7.33330393,6.90115023,6.58871555,6.03516722,6.17537546,6.74047899,7.20918465,6.77489328,6.7717886,7.020919800000001,7.44478321,7.80729866,8.30269146,8.51866722,9.06820488,9.14051342
40,China,CHN,4.47341394,4.22035074,4.34825134,4.38032389,4.25689554,4.14221525,3.91870999,3.65868473,3.87722778,4.32182407,4.2079916,4.32551336,4.5493989,4.71002245,4.77322769,4.8887229,4.98188066,5.15119171,5.35107994
41,Cote d'Ivoire,CIV,5.59964752,4.79337454,4.395063400000001,4.54102564,5.15417147,5.2876687,5.75623083,6.29261971,6.31469202,6.17719936,6.10366869,6.07790899,6.11988115,5.13896704,5.15732431,4.42198133,4.53622293,4.45303488,4.19003773
42,Cameroon,CMR,4.29790974,4.09759188,4.29549456,4.26849031,4.01539326,4.09552193,4.0291419,3.9596807999999997,3.82387352,3.73968959,3.75899553,4.01686096,4.07313347,3.78502822,3.95040631,3.74885845,3.72961879,3.4925251000000004,3.52989626
43,"Congo, Dem. Rep.",COD,1.45309758,2.6104486000000002,2.55746818,3.7208724,4.32298088,4.15535212,4.29650307,4.23824692,4.89141369,4.44885302,3.74988651,3.21934819,3.30099463,3.56509233,3.97941589,3.99593234,4.36690283,4.15728664,3.30075741
44,"Congo, Rep.",COG,1.69392455,2.37584233,1.87626672,2.11587858,2.10554647,1.87587202,1.78239918,2.24364161,2.5532465,2.22144175,1.98057461,1.85153627,2.47433209,2.48846722,2.50741982,3.41535068,3.46238065,2.93953753,2.13848233
45,Colombia,COL,5.63529348,5.94238234,5.73295689,5.77505875,5.79892826,6.06709814,6.33551502,6.49102831,6.84192705,7.31134653,7.07130146,6.78076839,6.74599648,7.01724052,7.18553209,7.52338552,7.53117037,7.67864275,7.63980007
46,Comoros,COM,7.31747961,6.48650169,6.49571133,6.15899706,6.03137445,5.82406998,5.68997049,5.46857214,5.21697044,5.07112646,5.09492636,5.43611145,4.67309475,4.60162401,4.55703831,4.73517609,4.70250511,4.64801407,4.58884811
47,Cabo Verde,CPV,4.43401194,4.75244379,4.75569439,4.50008631,4.37710667,4.27364111,4.48974991,4.18900156,3.58312869,3.88152456,4.47555733,4.30527449,5.13365459,5.28994226,5.32722235,4.81784487,4.845016,5.36013222,5.35998297
48,Costa Rica,CRI,6.59314299,6.49965191,6.89989567,6.99989271,6.65927315,6.69515944,6.96992493,7.03324175,7.51461315,7.90734673,8.11340141,8.21805191,7.91351128,7.86832047,7.88175106,7.82285929,7.5334692,7.32879639,7.56336021
49,Caribbean small states,CSS,4.7282980034943,4.55752486811088,4.679651571241389,4.50641459007787,4.73305200034878,4.661666653865749,4.59954365455806,4.81313855611703,4.706854231119969,5.452671738934691,5.33413502412126,5.17777723468496,5.1786834466299005,5.30295019744467,5.37520988710826,5.73761265286781,6.10669861475335,6.41524616377996,6.373303379021451
50,Cuba,CUB,6.58189821,6.98209763,7.11481667,7.10295439,6.83178759,8.75525475,8.2719059,10.96749115,11.31422806,12.29053974,10.688082699999999,11.31298637,9.29940987,10.43099499,12.1412344,12.81401348,12.2177515,11.7113266,11.18745422
51,Curacao,CUW,,,,,,,,,,,,,,,,,,,
52,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,
53,Cyprus,CYP,5.30800056,5.33940458,5.61565971,5.63568783,5.40558147,5.43580961,5.46357489,5.35744858,6.01427698,6.46531582,6.51767111,6.44928503,6.55474567,6.94518471,6.9609561,6.92568588,6.83423901,6.73828936,6.76976299
54,Czech Republic,CZE,5.71755314,5.88764715,6.19887209,6.55446577,6.3854723,6.38101006,6.19553137,6.01604843,6.35973358,7.29290485,6.92806244,6.97689199,7.02843523,7.80669546,7.65308523,7.24275684,7.149598599999999,7.23133898,7.64651203
55,Germany,DEU,9.888197900000002,9.92046165,10.18361187,10.40197659,10.14598751,10.31149673,10.17961693,10.05104923,10.251012800000002,11.23758507,11.0968647,10.77629662,10.84700775,10.99187183,11.01583958,11.17801952,11.23043633,11.32229614,11.42995071
56,Djibouti,DJI,2.93908072,2.8072207000000002,3.58787632,3.97685766,3.32442927,3.22467232,3.48426819,3.41498637,3.19098687,3.21451879,3.06150365,3.3765644999999997,3.299927,2.92013574,2.96522927,3.07555771,2.72740006,2.46476316,2.32438445
57,Dominica,DMA,5.3237442999999995,4.6450181,4.6531105,4.84617901,4.74520159,4.97772503,4.78092194,4.79109907,5.04968786,4.98329306,5.157118799999999,5.33450365,5.79509926,5.30803347,5.22792864,5.185772900000001,5.15253305,5.44028521,6.59153605
58,Denmark,DNK,8.10438347,8.44832611,8.70251179,8.9036293,9.00743198,9.0905695,9.16879559,9.325154300000001,9.51134396,10.67432022,10.33315945,10.15291023,10.24135303,10.16958141,10.17190456,10.22716618,10.14456177,10.03963375,10.0707159
59,Dominican Republic,DOM,4.88427496,4.88183308,4.98649025,4.38888311,4.2877388,4.35391188,3.99365425,4.20732832,4.72506762,5.08706474,5.57939434,5.66508865,5.88521528,5.76407719,5.75102663,5.78464127,5.82759809,5.83058691,5.73298407
60,Algeria,DZA,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.2351612999999997,3.35510325,3.82141781,4.20188236,5.35939837,5.11716986,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60778189,6.38032866,6.2184267
61,East Asia & Pacific (excluding high income),EAP,3.9583707413840004,3.85746146123275,3.91151257086062,3.9784041902007004,3.8871175146709103,3.8827859849751802,3.73555206558382,3.56826724784118,3.7340159806594904,4.1265469596867295,4.03218377823789,4.14104496874896,4.34565647388372,4.5047246345674195,4.5890126842807994,4.69823785847618,4.77657944580812,4.9110443189002595,5.090382842891679
62,Early-demographic dividend,EAR,4.87494710662978,5.12101710927745,4.83805647610313,4.93396341756262,4.8829193568813,4.83159605240422,4.8440704049569,4.823247740544669,4.7802558241118,5.18005189168512,5.00716831721199,4.95055198334785,5.03642370782574,5.07474375505409,5.113270882832349,5.21875531787509,5.08285969418459,5.19982445731069,4.99168009995053
63,East Asia & Pacific,EAS,6.17453222371034,6.20695999045174,6.17106927507641,6.2674116628511,6.23879340119172,6.188300364591281,5.989295385238821,5.7806149369357005,5.9326730981743205,6.424811381919639,6.308948185943941,6.73508430355286,6.796281917448041,6.56749009369822,6.50240185620713,6.4586233392465,6.5781197814042995,6.574326252343679,6.6705104008808895
64,Europe & Central Asia (excluding high income),ECA,4.892323985821,5.17667455246837,5.41997776804612,5.35272186312312,5.12390703793162,5.1023007920823495,5.0827895030732995,5.02641085746372,5.072178528555559,5.6009485778909,5.14096239041966,4.8593428929546905,4.94747695587036,5.000465382700621,5.034469104107759,5.0295318965499405,5.1041801346635705,5.1249588483972195,5.179637944240441
65,Europe & Central Asia,ECS,8.02801838045009,8.21995865923288,8.47598055396127,8.66408697416254,8.64782227003623,8.63044073830054,8.564668437649031,8.46421072213904,8.63993985265628,9.45132208744065,9.22099858799763,9.05953967114748,9.066039033405891,9.105142812646221,9.21162821217986,9.28927108731954,9.34188724491844,9.26340606570553,9.29732938920566
66,Ecuador,ECU,3.31528974,3.73755836,4.45758963,5.42486,5.55078459,5.57841349,5.687222,5.8648901,5.81637669,6.438733099999999,7.12195635,7.86521816,8.47968197,8.55983448,8.62127495,8.58845711,8.29596043,8.25742912,8.13646507
67,"Egypt, Arab Rep.",EGY,4.92244291,5.40030336,5.5107379000000005,5.2242527,4.85732365,4.92229176,4.84190083,4.44493246,4.46634817,4.37870979,4.15319157,4.35707569,4.71025944,4.91730928,5.02518845,5.33657265,5.36399841,5.63305616,4.947577
68,Euro area,EMU,8.63825736391534,8.74008294100601,8.96029689994855,9.17174779286791,9.19720029952659,9.29497682373392,9.28742011354762,9.18954188330315,9.48896040625111,10.2508740891701,10.2108879261059,10.0911009983969,10.176460337796199,10.2350540722571,10.2663012514334,10.2123857796722,10.1960769169679,10.1579712429695,10.1359781828812
69,Eritrea,ERI,5.76670074,5.91931629,6.68851233,7.33703375,7.00984907,6.8641758,6.85840464,5.2786292999999995,6.41520452,5.38878536,4.91415453,5.21496344,3.77572441,4.99239731,4.05145597,4.460023400000001,3.53811574,3.76475835,4.09255791
70,Spain,ESP,6.79921818,6.76895761,6.80052805,7.56392097,7.65912247,7.73195314,7.82912683,7.9183569,8.381877900000001,9.10707188,9.1185751,9.16859245,9.15699196,9.06737709,9.09010506,9.12686825,8.9523859,8.94249249,8.97741413
71,Estonia,EST,5.15698433,4.77708292,4.70043564,4.85959911,5.119555,5.05801439,4.76530361,4.98330879,5.71032381,6.51218891,6.27224827,5.76757813,5.79034519,5.97791481,6.08077621,6.34629202,6.42956781,6.59183788,6.6878767
72,Ethiopia,ETH,4.3650465,4.72316694,4.712629799999999,4.89970922,4.31281853,4.10098124,4.45757294,5.00128365,4.28063917,4.64983416,5.46637201,4.46897793,4.53959608,4.07506514,4.03365517,3.82316828,3.66298747,3.50331593,3.29555655
73,European Union,EUU,8.431859484164539,8.55446625127687,8.77661167413654,8.99469580802776,9.00041963219365,9.070799580832722,9.040065661787269,8.930253483528599,9.19993740288116,9.957653537506369,9.88241080873085,9.82379690845752,9.91224837895559,9.97953861136172,10.000505160569999,9.935889923058669,9.92875629532812,9.87816063299064,9.85399715540348
74,Fragile and conflict affected situations,FCS,5.09178291457483,5.50533928516944,5.02597414078137,5.39592103779087,5.08946370352467,4.651087809037509,5.0293095061296205,4.91362889033949,4.52979704084938,5.18627422768058,4.76868290554016,4.64832990942763,4.4922355946922,4.34863611442068,4.49798921917966,4.45509971572647,4.492938404643731,4.6518181637183895,4.436401948021509
75,Finland,FIN,7.09253168,7.25090408,7.62769508,7.93805122,8.05912876,8.28795624,8.2841177,8.08359337,8.34310627,9.16122246,9.14202785,9.22303009,9.5857954,9.80534649,9.78115082,9.64523888,9.37796021,9.14156628,9.037322999999999
76,Fiji,FJI,3.42441201,2.90547323,2.983495,2.97298193,3.25768542,3.25656676,3.34798169,3.41514993,3.1846714,3.53587651,3.4166410000000003,3.14293504,3.2655499,3.20040703,3.3686049,3.32468939,3.27979708,3.18689561,3.42366552
77,France,FRA,9.58447742,9.70562744,10.02218628,10.08283329,10.16429329,10.214844699999999,10.39308834,10.33102131,10.51212215,11.29670525,11.24011326,11.20183182,11.31324291,11.43607998,11.58073521,11.46616745,11.50134468,11.39050198,11.25789452
78,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,
79,"Micronesia, Fed. Sts.",FSM,7.76511145,8.45260048,7.897204400000001,9.57150459,12.02715683,17.73306656,10.74129105,11.0585041,11.99137974,12.55259228,13.10624504,13.09527493,12.31475735,12.17689991,11.76905727,12.49603271,13.17891884,12.31883812,12.59075356
80,Gabon,GAB,2.90536857,3.15246534,3.33045912,3.5369184000000002,3.33139825,2.93410254,3.1450901,3.1515007,2.794451,3.83981419,2.47556901,2.55771565,2.42097569,2.84087181,2.53282237,2.65743947,3.1076982,2.78074527,2.74503946
81,United Kingdom,GBR,7.28434992,7.654996400000001,8.02424622,8.21229839,8.48447704,8.53398705,8.69737816,8.87322426,9.16623402,10.01600361,9.98915195,9.97346497,10.0517683,9.97855186,9.95758438,9.90435219,9.86671162,9.82511234,9.99696255
82,Georgia,GEO,7.39698839,7.37039232,8.03379822,8.2554884,8.3163681,8.30393314,7.84626532,7.64387417,8.68152046,9.83542728,9.54538918,8.38810349,8.37314224,8.3957243,8.43881893,7.93235874,8.42134666,7.05804443,7.11329746
83,Ghana,GHA,3.00223541,3.38096738,2.99873066,3.02463651,3.10012674,3.97779608,3.9613142,4.06612778,4.19730759,4.70667505,4.69206762,4.74449921,4.18723392,4.62300539,4.10044813,4.62171459,3.46157742,3.32977843,3.53888083
84,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,
85,Guinea,GIN,4.74565029,4.88879013,5.36134958,4.77804708,4.78207541,4.04244757,3.61067438,3.43229818,3.26221275,3.57714295,3.42332411,3.78955078,3.50398302,3.46079683,4.78097677,5.80920601,5.39708233,4.27482462,3.93172431
86,"Gambia, The",GMB,6.63892317,5.62362909,6.263335700000001,5.31111097,5.40308571,5.37833881,5.41599321,4.9471097,4.6473093,4.43418264,4.09267378,4.34501791,4.230021,3.91374874,3.6996479,3.17612934,3.19347262,3.34084225,3.09379649
87,Guinea-Bissau,GNB,6.84018946,6.39969349,6.15985727,6.50510693,7.66747808,7.22372293,7.08390236,7.36150503,6.95112944,7.00096798,6.46586418,6.13526964,5.76361847,6.9278307,9.51437759,8.59115314,7.65348768,6.84708118,6.99553871
88,Equatorial Guinea,GNQ,2.14664936,2.20369768,2.34778309,1.94392169,1.73176396,1.49995625,1.51862013,1.57125568,1.82917058,1.84437954,1.81862855,1.55357504,1.26357353,1.87567019,2.19292879,2.91533971,3.14452434,3.01081419,2.99830961
89,Greece,GRC,7.24332571,7.987839699999999,8.23378086,8.44915676,8.09390354,8.56466961,8.25866985,8.39808178,8.82774258,9.40688515,9.51564121,9.02808571,8.79238129,8.31875896,7.84993553,8.01678371,8.21496582,7.96522522,7.71544075
90,Grenada,GRD,5.35886383,5.62456989,6.175697799999999,5.28485727,5.36568451,5.14460278,5.11352158,5.23867893,5.3861989999999995,5.43471003,5.41881227,5.80423355,5.82235813,5.62652922,4.77353573,4.64675617,4.44077301,4.59776449,4.46386862
91,Greenland,GRL,,,,,,,,,,,,,,,,,,,
92,Guatemala,GTM,5.69112062,6.40109396,6.34377003,6.47980595,6.528557299999999,6.36888361,6.59030056,6.35892963,6.2551445999999995,6.38094711,6.14943743,5.93635654,6.01474953,5.68028307,5.80132627,5.85707808,5.83935881,5.81384373,5.70716429
93,Guam,GUM,,,,,,,,,,,,,,,,,,,
94,Guyana,GUY,4.19365501,4.02737045,4.21835184,4.2945528,4.72486782,4.97511816,5.21391296,5.54291868,5.58608246,5.70194817,5.86968994,5.572733400000001,5.15344524,5.23556042,5.31300068,5.36894894,5.14076519,5.65979004,5.93609333
95,High income,HIC,9.4820338869484,9.97227986150683,10.3906607947002,10.5604738684894,10.5172471140852,10.5481853788977,10.591414323396801,10.5717777237393,10.755817998958099,11.7202833127,11.632121058406902,11.6525802998523,11.781629173847199,11.8131844097093,11.971404201961802,12.378270090462198,12.5569331733499,12.525608551293,12.4661160248451
96,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,
97,Honduras,HND,6.26817942,5.92998314,6.2445755,6.8900466,6.85484314,7.50086403,7.86318684,8.08494949,8.60362625,8.995925900000001,8.72536373,8.79187012,8.65655136,8.47723007,7.91455746,7.48378992,7.69098616,7.00069904,7.04958153
98,Heavily indebted poor countries (HIPC),HPC,4.283246169679311,4.6414261666931305,4.80746515653413,5.02419946992472,5.26270789774852,5.36978941240322,5.489050622930139,5.55056575531206,5.33774602816525,5.73796043186259,5.579480921685411,5.4576745598455,5.3143075792003,5.36326670542997,5.29213414263075,5.55856075618994,5.3472307646492006,5.19369346166299,4.8628175792490795
99,Croatia,HRV,7.70187807,7.19601297,6.20467758,6.35693502,6.56943607,6.90637589,6.97705221,7.46290779,7.7259139999999995,8.17594814,8.10364056,7.79134035,7.795695299999999,6.53333521,6.69970798,6.78635979,6.82976627,6.77827311,6.82702351
100,Haiti,HTI,6.87873936,6.60283327,5.98888016,5.76704884,5.85191727,5.50935555,5.5010376,5.90158033,6.01590109,6.16915989,8.14559841,10.2313633,9.66829586,7.23788214,7.79763603,8.62852955,8.43686771,8.08468342,7.69460344
101,Hungary,HUN,6.77804375,6.82614756,7.12101698,8.11923409,7.77005482,8.00078201,7.78737354,7.21529293,7.09688091,7.2392807,7.507643700000001,7.52545595,7.44883251,7.24911928,7.07047558,6.88948917,7.04818678,6.79227543,6.70007229
102,IBRD only,IBD,5.25197643618061,5.309335938469861,5.18200510678169,5.18514544742876,5.11520744207581,5.08153355297419,5.0429737096882405,4.9605013297591105,5.01633254927418,5.392557781248961,5.19792008883231,5.14323370662399,5.20659247854906,5.285501899326951,5.33455972488263,5.38658455021642,5.41686654773038,5.55646811824096,5.547510010721821
103,IDA & IBRD total,IBT,5.134446733168139,5.19848035745807,5.07024927719983,5.115144037690469,5.05073077303433,5.02613139949389,4.99451797936537,4.91715777570886,4.9638947989827695,5.32002226752671,5.13379334123602,5.07836710526791,5.13668121206558,5.214076869335139,5.25437399115453,5.30699830108787,5.3335006265768,5.46343466750448,5.45312634127271
104,IDA total,IDA,3.61267702606733,3.7301037275296802,3.69815677825831,4.24924087514815,4.23976204354902,4.3109617119560095,4.38058515063025,4.337792897607169,4.2312818900725295,4.3228777402429,4.21091102860592,4.09836184414055,4.095755301685419,4.19112433404729,4.14610954613174,4.2787181109458,4.203911950681991,4.12283995163542,4.08866968899952
105,IDA blend,IDB,3.3373828325242205,3.2714024583677,3.0104648947665797,3.9561159555325895,3.7605942986223,3.84629377038454,3.9076428972855095,3.79451809201638,3.63082610399196,3.50070348890347,3.5041156127599704,3.3944737569862,3.4611866520456203,3.57173936351287,3.5260648750392503,3.6073793575128,3.70378934294207,3.6428425911827302,3.79918359239686
106,Indonesia,IDN,1.90931416,2.17417526,2.03304791,2.30133748,2.17213154,2.58409047,2.67202187,2.87617064,2.61300087,2.68494344,2.96089983,2.95542026,2.9028666000000003,2.96065068,3.11712098,2.99113512,3.08569908,2.86824059,2.87053037
107,IDA only,IDX,3.83418542944535,4.1025923261585,4.27029491111069,4.49698322756895,4.678347957340669,4.76112516625136,4.87673091342124,4.886041915587191,4.8804357163361205,5.1110527295693,4.92721572542159,4.842970767516411,4.80744236438274,4.867899655132599,4.82461084107305,4.97035897810364,4.68736256779232,4.5449336318987195,4.33680552044022
108,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,
109,India,IND,4.03493309,4.26278067,4.24016762,4.00848055,3.95739198,3.79116249,3.63477802,3.51754212,3.51468062,3.48537874,3.27211905,3.24634194,3.32935309,3.74944162,3.61956549,3.59565997,3.51098323,3.53500652,3.5442449999999996
110,Not classified,INX,,,,,,,,,,,,,,,,,,,
