,country,country_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,401.753867858641,441.797872536285,470.966768149106,536.3661041471411,522.656523903374,541.853601150372,605.538026838918,679.8381340271679,817.9012924918941,1067.99544860004,1482.7307648171302,1979.0017035166502,2905.9957324166,3771.1952664482105,2749.52667944974,2924.4656685949,3164.50351328765,3332.0752541215397,3562.03103374025,3653.79037186121,3241.9240071592894,3172.82314578967,3522.86165736197,3685.7659565983295,4024.1385582778703
11,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Australia,AUS,2680.85132947476,2831.5045294002803,3252.8927697817894,3952.89697025818,5336.53198542206,5796.65106560232,6201.1132146887,6339.85968017504,6744.21910789761,7449.0920781759705,8196.05909529227,9711.145123330341,10252.3743301705,9364.851607867271,10055.7411913918,9116.69915811023,9072.39339960502,9279.551599180459,11438.4129742986,14146.546476376001,14189.857376305801,14643.4462683378,14467.1296422778,13967.0180405875,14442.862189220501,16063.7503596684,17321.853709903302,18611.9664064041,16962.5985907648,16334.364906025501,17058.279740688402,15451.399140039199,15990.9760382406,18734.0599180582,24240.3587171554,26511.1883380391,27847.649373,31260.1041325905,37805.4807944742,33347.3823240562,40233.3256275756,48283.02595300519,53474.8505582387,53920.0370293533,48738.7479734066,44352.13784606019,39137.3003580273,42036.7964195284,44300.56227716769,42151.0863753148
14,Austria,AUT,1760.3664066630702,2033.9999308689398,2496.9583712368103,3329.7430657672603,3957.1709748201292,4499.22909141524,4852.859766914749,5795.952730688001,6952.5688831649095,8309.59347499873,9171.8085095202,7862.680234218879,7895.66274170665,8038.926525811809,7569.365237827679,7734.69079232422,10998.835694604299,13765.737460985702,14865.0576486881,14798.2920589851,18396.435863531202,18879.4280234961,20991.2081719606,20248.472625631202,21548.5845679632,25393.910065033197,25034.8738923861,22290.731383963597,22794.0377099857,22352.315349012002,20343.7051465449,20129.1744188594,21823.3940247457,26670.5081017568,30565.8466748113,31856.877164588303,33977.9108774539,39129.3668849384,43491.8699149464,39512.193357885495,39003.6633009568,42581.45348096,39996.8595446505,41700.6822109753,42432.3012710663,35815.1363649335,37186.248320564104,38448.418346329105,41712.2012661055,41179.548928861295
15,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.039055029628,406.416640288314,361.48223504710603,435.078359924846,550.868973570793,651.3600906373761,739.464243712711,941.078515049595,1355.2717758793199,2041.6174226165801,3143.7235543903603,3308.67986470109,3834.85977594109,4640.948684506479,5148.23690531603,5698.29173550447,5988.916331412471,4424.79096270659,2997.66745341727,3173.6253364105605,3359.63815247828,3501.65035580474
16,Burundi,BDI,,,,,,,,,,,171.061843520655,177.49927736020697,171.807624380033,187.313991398152,163.872765690903,186.906754486511,183.306754944203,163.255685771588,150.89376433678,151.043998836995,145.560780297889,149.797850095813,132.98548532482098,112.36093083899401,104.464221894576,99.32660190700291,77.48487673330729,94.0961418229698,82.3050752942273,87.50386880792361,96.3250862806641,85.9115265665567,72.0868066891112,47.8616729695901,65.60182662899061,84.45183670014241,101.836106598149,91.309789201847,104.98296166357201,116.825895670903,145.630706389325,152.665392160956,174.276154355187,181.141882961722,194.10745013941798,220.475768552839,199.68487014378502,207.32678107389702,203.64132330306802,199.88772761233002
17,Belgium,BEL,2401.32693910631,2679.96381847189,3334.9046430353196,4284.6948777947,4998.573003262,5846.219947586129,6358.81928121668,7323.8322156410095,8930.940752353481,10181.867615616899,10834.047175641801,8877.939433388492,7762.436264555229,7346.5215033738705,7084.752178677809,7371.61890495228,10301.5932034656,12879.0505259577,14025.9337083099,14100.3500461728,17608.3703822779,18009.5859632459,19967.255922326298,19212.488873116698,21096.821018972,24609.3643838088,23720.530574892997,21434.1014630851,21835.9689903146,21652.6988011252,19805.4273196605,19527.9979175238,21086.2679070114,25824.629970962404,29722.680021431097,30803.4478863693,32307.666099615097,36933.6044976338,40253.5846991659,36728.178744531804,36309.1058843981,38241.6815661999,36970.1081456662,38775.524570247995,39500.7620024417,33795.264774805095,34512.830461584505,36348.2916745025,39098.085540126296,38208.4492016769
18,Benin,BEN,,106.404601536554,127.91760597498,154.389083494634,166.724398310426,196.76465413222598,195.375578838153,205.486694807046,246.610196075025,307.411614666119,353.51854629469597,317.564779725446,296.917842906994,244.856414128185,222.168860559358,217.76525618112998,272.59033001898104,306.185217608447,309.84032196646,270.402692569682,341.56989963176005,334.207574782039,261.059945900643,342.919852221183,219.953645907039,287.583576825523,298.76970610647004,282.034232333273,298.944937703512,446.830314235732,418.51076666450206,426.388242001515,473.692330425726,586.996640075843,666.212299422712,693.104200699818,719.825922362707,811.1388480266111,942.811095359042,902.745333840541,860.462879389897,948.051913990743,967.15743106256,1076.57514263981,1115.48582862977,930.8888584150801,938.720617079366,974.087916803935,1076.9527326702198,1058.61679238682
19,Burkina Faso,BFA,,,,,,,,,,,266.073245675969,237.852191208265,227.71937898672996,201.176960149754,177.915523450678,184.746392641021,235.30235248539398,265.200968742312,284.535651437976,276.332577101941,318.02169627372103,312.783325393867,214.64807846000198,217.95639926069802,167.251219520936,203.63016627136398,217.751872890138,198.739241760699,220.90868470849898,270.616916359244,235.496916206284,246.433227762413,270.225292614159,342.356300406274,377.51730748572305,406.13274194875,419.271640885553,468.74201846485704,556.275929446081,527.2770119993879,529.4654632846231,592.392063388435,617.6905520864331,645.756325853939,639.832421319765,524.212940792703,555.1972849107569,595.400326570585,672.842517002242,672.730660197173
20,Bangladesh,BGD,,,,110.139680863818,168.320090107482,254.48674171421902,128.869874171416,117.611640699292,158.878781409837,183.268108591814,208.66642957815398,231.308751129422,205.95950061848202,193.499946219426,202.657751033027,230.22017487742198,219.512152766859,239.59699303962398,254.812354854142,269.040359947456,287.396670468456,275.582370824513,276.534204067897,284.355358068181,284.58696485923696,312.63402155696497,372.96266739188104,380.79756827353106,386.467149518176,389.231757663583,398.026053982149,393.692259109199,395.98443848736196,428.25943221102796,457.904977744422,481.264393313116,491.73404914915994,543.310656990516,627.368877050768,695.066942408698,774.891980651461,850.6138121324159,876.3789377066561,972.942502666056,1091.50085564919,1217.84346220517,1360.1524450245,1493.4161078093803,1626.3202849898098,1777.2762950126603
21,Bulgaria,BGR,,,,,,,,,,,1888.53042862942,1896.81368140793,1843.56385214589,1582.6805998211498,1681.71835880595,1634.38094020257,1930.77301781434,2664.26955811535,2090.6745831222897,2030.2782420081198,1831.6240324520602,956.256680873827,1028.77177032026,1080.35160960482,1001.3133337046302,2062.35613392798,1321.46944935224,1231.2102170759802,1601.1103311382699,1440.2355164494102,1374.1975194940699,1546.0817887301998,1857.5982674223199,2372.05558089534,2944.16398863549,3337.4181069341303,3733.5110099301396,4613.11530371111,5974.22144250146,5760.17845679052,5585.116464506171,6372.79924401784,6211.657890459051,6398.93886196659,6621.8836198482895,5804.8130889659205,6220.40574380797,6927.82714896913,7747.2401123215,8260.457339841949
22,Bahrain,BHR,,,,,,,,,,,6243.62921459531,7563.737257264301,7848.10005725438,7850.68404508761,7701.9860453681495,5450.362246023939,4691.31419616774,5152.62610938556,5758.35671944963,5869.74273084115,7449.00958508615,8115.3002245506095,7818.07233936348,7939.71372273644,8279.15934304743,8870.70132654758,9097.57109216892,8864.6252860553,8529.14920540995,8566.36795555143,11423.279461572,10618.6446980947,10665.7428710662,11826.722755095501,13311.1805224642,15446.0001531845,16671.4091442879,18365.073628948798,19744.949273326798,15310.2159062103,16652.6082074745,16804.143974731298,19942.5254109932,20631.1238179787,20622.1479720833,18914.998132088702,19277.463639545902,20137.7773144713,20217.335477595,19490.5917854671
