IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,true,,,,,,,,,,,,,0.39,,,,,,0.39,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,,,,,,,,,,,,,0.46,,,,,,0.46,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,GTM,Guatemala,Year,2016,true,,,,,,,,,,,,,0.49,,,,,,0.49,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,true,,,,,,,,,,,,,0.51,,,,,,0.51,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2016,true,,,,,,,,,,,,,0.51,,,,,,0.51,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2016,true,,,,,,,,,,,,,0.52,,,,,,0.52,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2016,true,,,,,,,,,,,,,0.56,,,,,,0.56,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,true,,,,,,,,,,,,,0.72,,,,,,0.72,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,true,,,,,,,,,,,,,0.84,,,,,,0.84,,,EN,2019-04-25T05:00:00.000Z
MH_6,"Psychiatrists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2016,true,,,,,,,,,,,,,0.89,,,,,,0.89,,,EN,2019-04-25T05:00:00.000Z
