IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2016,true,,,,,,,,,,,,,0.031,,,,,,0.031,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2016,true,,,,,,,,,,,,,0.037,,,,,,0.037,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,,,,,,,,,,,,,0.057,,,,,,0.057,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,,,,0.062,,,,,,0.062,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,0.065,,,,,,0.065,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,0.069,,,,,,0.069,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,true,,,,,,,,,,,,,0.081,,,,,,0.081,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ERI,Eritrea,Year,2016,true,,,,,,,,,,,,,0.083,,,,,,0.083,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,,,,,,,,,,,,,0.09,,,,,,0.09,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2016,true,,,,,,,,,,,,,0.1,,,,,,0.1,,,EN,2019-04-25T05:00:00.000Z
