IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AFR,Africa,Country,BEN,Benin,Year,2004,false,Sex,Female,FMLE,,,,,,,,,,81.3,,,77.92,,84.27,81.3 [77.92 – 84.27],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,FRA,France,Year,2004,false,Sex,Male,MLE,,,,,,,,,,81.37,,,79.37,,83.22,81.37 [79.37 – 83.22],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,COL,Colombia,Year,2004,false,Sex,Male,MLE,,,,,,,,,,81.58,,,79.09,,83.83,81.58 [79.09 – 83.83],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BLZ,Belize,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,81.6,,,79.09,,83.86,81.6 [79.09 – 83.86],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,CHN,China,Year,2004,false,Sex,Male,MLE,,,,,,,,,,81.87,,,78.39,,84.9,81.87 [78.39 – 84.9],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2004,false,Sex,Male,MLE,,,,,,,,,,81.91,,,76.22,,86.47,81.91 [76.22 – 86.47],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2004,false,Sex,Male,MLE,,,,,,,,,,81.96,,,78.83,,84.72,81.96 [78.83 – 84.72],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,TUR,Turkey,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.08,,,79.2,,84.63,82.08 [79.2 – 84.63],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.11,,,78.71,,85.07,82.11 [78.71 – 85.07],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,CZE,Czechia,Year,2004,false,Sex,Female,FMLE,,,,,,,,,,82.12,,,79.11,,84.78,82.12 [79.11 – 84.78],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.14,,,78.55,,85.24,82.14 [78.55 – 85.24],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,GUY,Guyana,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.14,,,79.36,,84.61,82.14 [79.36 – 84.61],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2004,false,Sex,Female,FMLE,,,,,,,,,,82.19,,,78.29,,85.51,82.19 [78.29 – 85.51],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,GRD,Grenada,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.19,,,79.58,,84.52,82.19 [79.58 – 84.52],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.2,,,79.22,,84.83,82.2 [79.22 – 84.83],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,DMA,Dominica,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.29,,,79.95,,84.41,82.29 [79.95 – 84.41],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,SUR,Suriname,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.33,,,79.98,,84.47,82.33 [79.98 – 84.47],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.38,,,78.7,,85.55,82.38 [78.7 – 85.55],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.39,,,79.52,,84.93,82.39 [79.52 – 84.93],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,CAN,Canada,Year,2004,false,Sex,Female,FMLE,,,,,,,,,,82.47,,,80.18,,84.54,82.47 [80.18 – 84.54],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.5,,,80.22,,84.57,82.5 [80.22 – 84.57],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.53,,,77.04,,86.93,82.53 [77.04 – 86.93],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,FIN,Finland,Year,2004,false,Sex,Female,FMLE,,,,,,,,,,82.61,,,80.34,,84.67,82.61 [80.34 – 84.67],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.62,,,79.83,,85.1,82.62 [79.83 – 85.1],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.65,,,79.24,,85.59,82.65 [79.24 – 85.59],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,PER,Peru,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.65,,,80.26,,84.82,82.65 [80.26 – 84.82],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.74,,,79.3,,85.72,82.74 [79.3 – 85.72],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.74,,,80.5,,84.77,82.74 [80.5 – 84.77],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.84,,,79.99,,85.36,82.84 [79.99 – 85.36],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.85,,,79.99,,85.37,82.85 [79.99 – 85.37],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.91,,,79.47,,85.88,82.91 [79.47 – 85.88],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.96,,,79.59,,85.87,82.96 [79.59 – 85.87],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BRB,Barbados,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,82.96,,,80.35,,85.29,82.96 [80.35 – 85.29],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.98,,,79.34,,86.08,82.98 [79.34 – 86.08],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2004,false,Sex,Male,MLE,,,,,,,,,,82.98,,,81.07,,84.73,82.98 [81.07 – 84.73],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2004,false,Sex,Male,MLE,,,,,,,,,,83.03,,,80.78,,85.07,83.03 [80.78 – 85.07],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2004,false,Sex,Both sexes,BTSX,,,,,,,,,,83.09,,,80.45,,85.43,83.09 [80.45 – 85.43],,,EN,2019-11-14T06:00:00.000Z
